lat,lng
55.2,61.4
30.3,120.2
55.8,37.6
54.6,39.7
51.8,55.1
23.7,90.4
34.1,-118.3
53.2,50.1
-18.9,-48.3
23.5,121
32.1,118.8
51.7,39.2
55.2,59.7
23.5,121
34.8,113.7
54.6,39.7
45.5,-73.6
57.8,40.9
59.2,11.4
49.8,30.1
51.7,36.2
44.9,40.6
53,-1.2
31.9,117.3
39.9,116.4
55.3,61.4
54.2,45.2
37.5,127
55,36.5
45.5,-73.6
33.4,-111.9
53.9,27.6
48.9,2.3
22.5,114.1
51.7,36.2
45.5,-73.6
55.9,37.4
50.4,80.3
55.8,37.6
55.7,12.6
36.7,117
52.2,21
40.3,-111.7
49.8,24
50.1,8.7
37.5,121.4
39.1,117.2
31,121.4
51.3,58.2
51.7,55.4
51.8,55.1
48.9,2.3
-34.6,-58.4
55,82.9
55.7,37.6
55.8,37.6
23.7,90.4
30.3,120.2
31,121.4
56,43.1
23.5,121
40.5,-74.2
52.7,58.7
23.1,113.3
55.7,12.6
51.7,39.2
35.6,140.1
40.5,-74.2
55.2,59.7
55.5,47.5
54.6,53.7
48.9,2.3
50.4,30.5
30.7,104.1
24.7,46.7
23.5,121
30.3,120.2
55.8,37.6
24.1,120.7
53.5,49.3
36.7,117
32.1,118.8
30.7,104.1
14.6,121
23,120.2
53,36.1
37.5,127
23.1,113.3
25,121.5
55.2,61.4
23.5,121
23.5,121
53.5,49.6
51.8,55.1
21.5,39.2
36.7,117
39.1,117.2
51.1,17
45.5,-73.6
55.2,61.4
45.5,-73.6
55.7,37.6
35.2,115.4
23.1,113.3
34.1,-118.3
30.3,120.2
39.9,116.4
26.2,91.7
50.4,30.5
55.3,61.4
51.7,39.2
55.2,61.4
50,36.3
23.5,121
53.2,45
45.5,-73.6
51.2,58.3
50.6,36.6
56.1,47.3
41.4,-8.3
39,-77.5
-34.1,150.8
51.8,55.1
37.6,-77.6
49.6,34.5
52.8,52.3
55.2,61.4
54.9,43.3
30.7,104.1
56.9,60.6
56.9,53.2
23.1,113.3
55.2,61.4
34.8,113.7
43.9,125.3
51.5,-0.1
51.2,58.3
23.5,121
37.5,127
23.1,113.3
23.1,113.3
56.9,60.6
48.9,2.3
40.4,-80.6
30.3,120.2
24.1,120.7
42.4,-71.1
32.1,118.8
36.7,117
36.7,117
23.1,113.3
39.9,116.4
53,36.1
54.3,48.4
24.9,118.6
55.2,61.4
55.2,61.4
48.5,35
55.2,61.4
55.2,61.4
55.2,61.4
51.2,58.3
51.2,58.3
36.7,117
45.5,-73.6
55.7,37.6
52.5,103.9
41,29
46.3,48
35.2,115.4
13,77.6
23.1,113.3
55.2,61.4
36.7,117
36.7,117
54.6,39.7
47.1,8.2
30.3,120.2
